y,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
15.67422314,2.378756142,1.087390041,0.57889527,0.562726466,-0.758196747,-0.344628389,0.830232302,0.690674629,0.418043013,-1.277541362,2.328987798,1.186842138,0.559901758,0.588898622,-0.747582483,-0.291692728,0.859927178,0.726027465,0.284726781,-1.251355059,-3.147251423,-0.800352209,-1.446822715,-0.781592533,-0.958908804,0.515062589,1.461284385,1.660643239,-1.428349716,-0.018522887,2.221150866,1.140707933,0.405193001,0.502075124,-0.733323556,-0.473544946,0.686702387,0.694532822,0.473567705,-1.288589636,-0.384994199,0.145540616,-0.432150649,-0.590777558,-1.5140623,-0.687684584,0.276007612,-1.093396838,-0.655140745,1.229707983
-6.018504717,-0.437583373,-0.732747024,0.1946317,0.798466793,0.620473786,-0.17950032,-0.110913388,-0.502278359,-0.247723126,1.238856796,-0.534201367,-0.704432072,0.088144005,0.903715451,0.626536998,-0.304907022,-0.080617997,-0.59639098,-0.336340874,1.093820259,-0.976732246,0.212441882,0.280320806,-0.906500174,-0.614429032,0.322851198,0.79422483,-0.168333845,-0.443501139,0.023893954,-0.408220353,-0.669567483,0.163563025,0.774023382,0.525862801,-0.08354072,-0.17075787,-0.33780815,-0.319969649,1.103825732,-0.650718833,0.08356936,-0.472099179,0.018260087,0.634834897,0.244382531,-1.393677466,0.008923958,0.582869714,1.2992588
-10.49185087,-0.909368033,-0.433636051,-1.075999666,-0.664422446,0.146410269,-1.738416394,0.778206427,-0.981129908,1.29792637,-1.272762669,-0.818763843,-0.387134728,-1.085122266,-0.864552036,0.051122583,-1.803447033,0.706795323,-1.076943806,1.320231377,-1.372841252,-0.715469266,-0.324495387,-0.264335882,-0.919125339,-0.084749959,-1.048481037,-0.069692827,-0.258369225,-0.010441707,1.326426201,-0.788346223,-0.397425107,-1.138217232,-0.702613673,0.342595681,-1.702327292,0.775216401,-1.067999087,1.323642121,-1.170797453,0.478231612,0.156195488,2.659163093,-0.458782036,1.124199216,0.384350447,2.871060296,0.048478847,-0.053185439,-0.143295927
4.894711488,-0.378740752,-0.970995095,-0.854408912,-1.667641288,1.83728247,-0.143026692,0.975797348,-0.246503976,-1.13602039,-0.672286547,-0.372104541,-1.002341416,-0.914989802,-1.606476713,1.990375866,-0.11961812,0.884879893,-0.050698814,-1.220776515,-0.683197018,0.762737685,1.850707421,0.818827044,0.520492067,-1.717900057,-1.719398325,-1.004540259,2.380995669,0.718178427,-0.210013717,-0.330496101,-0.905216234,-0.758218379,-1.560792931,1.859710189,-0.131533145,0.903308562,-0.163438778,-1.17908316,-0.580187127,0.824176089,-0.561327555,-0.132487412,-1.586049384,-2.35998324,-0.274396234,1.109370299,-0.980702962,-0.722052143,-1.251590812
-5.015392581,-0.541122609,-0.480789495,-0.668827581,1.135291336,-0.410405809,1.451399714,1.268477261,-2.003803887,-1.510186868,0.085259013,-0.555444213,-0.351543162,-0.602720372,1.134478014,-0.4033054,1.225754054,1.3073816,-1.963869448,-1.493572962,0.140674944,0.019233689,0.049656309,1.061481005,-1.112334886,0.639664577,0.041296472,0.555138744,-0.555915865,-0.73188918,1.632210192,-0.611216417,-0.445177635,-0.70933745,1.108821838,-0.478722373,1.447698184,1.297093636,-2.007616417,-1.602235581,-0.021727384,0.167735833,1.069321305,1.060635847,1.460101734,0.115390498,-0.307367175,0.967376037,-0.223514076,-1.414447175,-0.372482723
-8.042547527,-0.693042228,1.261087855,-0.637302301,-0.591925075,-0.83981576,0.125398341,0.701527507,-0.829193095,-0.670462738,0.085832861,-0.839130209,1.372792142,-0.701144022,-0.67331115,-0.927037852,0.165621367,0.764953463,-0.906925598,-0.747166687,0.190977731,-0.147511677,0.020218588,0.502971627,-1.053475792,-0.95768918,0.577242569,-0.124358149,0.906382878,0.640507981,-0.23246134,-0.667521113,1.313265153,-0.685072088,-0.605937155,-0.80330456,0.158758087,0.658088313,-0.734474205,-0.494398469,-0.069163775,-0.682631278,1.463296416,0.342629925,0.054111594,0.723411517,0.522141071,0.979512291,1.085952721,-1.109785076,-1.296352005
-1.436161476,-2.287535725,-0.232241292,0.585980199,-0.264880201,-0.516457924,-2.654710326,-0.609422106,0.505096163,-0.584099052,0.168528909,-2.272642175,-0.143686586,0.463948918,-0.424673773,-0.499658957,-2.736481878,-0.67420904,0.403124129,-0.63299649,0.068931215,0.209667038,0.632737427,-0.341639195,-0.466929467,1.43056214,2.596975782,0.488480436,-0.016234653,-1.595064939,1.500521325,-2.380351527,-0.214415158,0.541351211,-0.462034502,-0.523423079,-2.792672355,-0.528223305,0.542999626,-0.502341721,0.065889432,-1.413884321,-1.513810896,-0.521875692,1.667876724,0.836788034,-1.052496274,1.824639665,-0.25716485,-0.967573805,-2.669354148
-6.316226109,0.079564855,0.031153126,0.200174343,-1.06163638,-0.809911737,-0.081362373,0.415492217,-0.369193948,-0.212908659,0.416229017,-0.11577196,0.025690178,0.294899417,-0.97720538,-0.889535507,-0.219298642,0.301720515,-0.290353898,-0.244822681,0.533541468,-0.797899651,-0.730887376,-0.136729929,0.38334143,0.025330984,0.506435428,0.920347404,-0.853645174,1.215492025,-0.744906469,0.06373331,0.141860722,0.19929312,-0.890585829,-0.824414048,0.192903336,0.375004472,-0.384269033,-0.151231042,0.405529704,-0.564686299,-1.296560116,-1.85786221,0.550836952,-0.74452449,0.332559733,0.136869402,-0.650425522,0.129161367,0.135112556
4.258041202,0.767600332,-1.031024494,0.277543155,0.295392404,0.662873137,2.435444673,0.426940376,0.094105645,-0.060117767,0.251456389,0.784658787,-1.121798487,0.33048661,0.088224322,0.796142099,2.512697295,0.580539826,0.035780331,-0.009967545,0.199957896,-0.37525903,-1.165559714,0.034017287,0.547270192,0.401678931,0.956864311,-2.699284177,0.117133754,-0.106984245,0.001979098,0.642301776,-1.152310986,0.493579386,0.333356713,0.572898499,2.485960605,0.363510023,0.11529601,-0.041416494,0.247168607,0.8649638,0.595992106,-0.250360393,0.36915938,1.024637478,2.472929014,-0.163179305,1.618237972,0.203331474,-1.81362213
-3.232022374,0.397365386,-1.118387554,0.841585485,0.098388213,0.630694464,1.512582639,-1.268815579,-2.327721989,0.017860484,-0.587840219,0.413574959,-1.125480524,0.958864686,0.024921797,0.680762399,1.589367261,-1.242123184,-2.241453344,-0.087669527,-0.52374548,1.302752487,0.445189992,0.745727332,-0.232015919,-2.0890493,0.482672941,-0.426825024,0.543891961,-0.672951369,0.785711291,0.211827725,-1.099494669,0.757946553,0.03516013,0.612315255,1.602991835,-1.330176112,-2.22565718,0.011917955,-0.554889367,0.393265404,-1.32127361,0.222037334,1.337393756,-1.414082445,-0.544472213,-0.156792443,0.015955245,-0.060691937,0.177054636
